1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, LA)","GE RUNOFF ELECTION % (GA, LA)",COMBINED GE PARTY TOTALS (when applicable),COMBINED % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,
80,DE,Delaware,S,S0DE00167,,Mark W.,Turley,"Turley, Mark W.",,IDE,,,,,"7,833",1.60%,,,,,,,,,
81,DE,Delaware,S,S8DE00160,,Nadine M.,Frost,"Frost, Nadine M.",,LIB,,,,,"5,244",1.07%,,,,,,,,,
82,DE,Delaware,S,n/a,,,,,Total State Votes:,,"173,847",,,,"490,935",,,,,,,,,,
83,,,,n/a,,,,,,,,,,,,,,,,,,,,,
84,GA,Georgia,S-FULL TERM,S8GA00180,,Jon,Ossoff,"Ossoff, Jon",,D,"626,819",52.82%,,,"2,374,519",47.95%,"2,269,923",50.61%,,,W,W,"General Runoff Election on January 5, 2021.",,
85,GA,Georgia,S-FULL TERM,S0GA00393,,Teresa Pike,Tomlinson,"Tomlinson, Teresa Pike",,D,"187,416",15.79%,,,,,,,,,,,,,
86,GA,Georgia,S-FULL TERM,S0GA00401,,Sarah,Riggs Amico,"Riggs Amico, Sarah",,D,"139,574",11.76%,,,,,,,,,,,,,
87,GA,Georgia,S-FULL TERM,S0GA00500,,Maya Dillard,Smith,"Smith, Maya Dillard",,D,"105,000",8.85%,,,,,,,,,,,,,
88,GA,Georgia,S-FULL TERM,"S0GA00674
",,James,Knox,"Knox, James",,D,"49,452",4.17%,,,,,,,,,,,,,
89,GA,Georgia,S-FULL TERM,S0GA00377,,Marckeith,DeJesus,"DeJesus, Marckeith",,D,"45,936",3.87%,,,,,,,,,,,,,
90,GA,Georgia,S-FULL TERM,S0GA00666,,Tricia Carpenter,McCracken,"McCracken, Tricia Carpenter",,D,"32,463",2.74%,,,,,,,,,,,,,
91,GA,Georgia,S-FULL TERM,n/a,,,,,Party Votes:,D,"1,186,660",,,,,,,,,,,,,,
92,GA,Georgia,S-FULL TERM,S4GA11285,(I),David A. ,Perdue,"Perdue, David A. ",,R,"992,555",100.00%,,,"2,462,617",49.73%,"2,214,979",49.39%,,,W,,"General Runoff Election on January 5, 2021.",,
93,GA,Georgia,S-FULL TERM,n/a,,,,,Party Votes:,R,"992,555",,,,,,,,,,,,,,
94,GA,Georgia,S-FULL TERM,S0GA00575,,Shane,Hazel,"Hazel, Shane",,LIB,,,,,"115,039",2.32%,,,,,W,,,,
95,GA,Georgia,S-FULL TERM,n/a,,,,,Total Full Term State Votes:,,"2,179,215",,,,"4,952,175",,"4,484,902",,,,,,,,
96,,,,n/a,,,,,,,,,,,,,,,,,,,,,
97,GA,Georgia,S-UNEXPIRED TERM,S0GA00559,,Raphael ,Warnock,"Warnock, Raphael ",,D,,,,,"1,617,035",32.90%,"2,289,113",51.04%,,,,W,"Special General Runoff Election on January 5, 2021.",,
98,GA,Georgia,S-UNEXPIRED TERM,S0GA00526,(I),Kelly ,Loeffler,"Loeffler, Kelly ",,R,,,,,"1,273,214",25.91%,"2,195,841",48.96%,,,,,"Special General Runoff Election on January 5, 2021.",,
99,GA,Georgia,S-UNEXPIRED TERM,S0GA00567,,Doug,Collins,"Collins, Doug",,R,,,,,"980,454",19.95%,,,,,,,,,
100,GA,Georgia,S-UNEXPIRED TERM,S0GA00591,,Deborah ,Jackson,"Jackson, Deborah ",,D,,,,,"324,118",6.60%,,,,,,,,,
101,GA,Georgia,S-UNEXPIRED TERM,S0GA00468,,Matt,Lieberman,"Lieberman, Matt",,D,,,,,"136,021",2.77%,,,,,,,,,
102,GA,Georgia,S-UNEXPIRED TERM,S0GA00484,,Tamara,Johnson-Shealey,"Johnson-Shealey, Tamara",,D,,,,,"106,767",2.17%,,,,,,,,,
103,GA,Georgia,S-UNEXPIRED TERM,S0GA00609,,Jamesia,James,"James, Jamesia",,D,,,,,"94,406",1.92%,,,,,,,,,
104,GA,Georgia,S-UNEXPIRED TERM,S0GA00658,,Derrick E.,Grayson,"Grayson, Derrick E.",,R,,,,,"51,592",1.05%,,,,,,,,,
105,GA,Georgia,S-UNEXPIRED TERM,S0GA00708,,Joy Felicia,Slade,"Slade, Joy Felicia",,D,,,,,"44,945",0.91%,,,,,,,,,
106,GA,Georgia,S-UNEXPIRED TERM,S0GA00716,,Annette Davis,Jackson,"Jackson, Annette Davis",,R,,,,,"44,335",0.90%,,,,,,,,,
107,GA,Georgia,S-UNEXPIRED TERM,S0GA00641,,Kandiss,Taylor,"Taylor, Kandiss",,R,,,,,"40,349",0.82%,,,,,,,,,
108,GA,Georgia,S-UNEXPIRED TERM,S0GA00492,,A. Wayne,Johnson,"Johnson, A. Wayne",,R,,,,,"36,176",0.74%,,,,,,,,,
109,GA,Georgia,S-UNEXPIRED TERM,S0GA00633,,Brian,Slowinski,"Slowinski, Brian",,LIB,,,,,"35,431",0.72%,,,,,,,,,
110,GA,Georgia,S-UNEXPIRED TERM,S0GA00542,,Richard Dien,Winfield,"Winfield, Richard Dien",,D,,,,,"28,687",0.58%,,,,,,,,,
111,GA,Georgia,S-UNEXPIRED TERM,S0GA00583,,Ed,Tarver,"Tarver, Ed",,D,,,,,"26,333",0.54%,,,,,,,,,
112,GA,Georgia,S-UNEXPIRED TERM,S4GA11103,,Allen,Buckley,"Buckley, Allen",,IND,,,,,"17,954",0.37%,,,,,,,,,
113,GA,Georgia,S-UNEXPIRED TERM,S0GA00617,,"John ""Green""",Fortuin,"Fortuin, John ""Green""",,GRE,,,,,"15,293",0.31%,,,,,,,,,
114,GA,Georgia,S-UNEXPIRED TERM,S0GA00443,,Al,Bartell,"Bartell, Al",,IND,,,,,"14,640",0.30%,,,,,,,,,
115,GA,Georgia,S-UNEXPIRED TERM,S0GA00625,,Valencia,Stovall,"Stovall, Valencia",,IND,,,,,"13,318",0.27%,,,,,,,,,
116,GA,Georgia,S-UNEXPIRED TERM,S0GA00724,,Michael Todd,Greene,"Greene, Michael Todd",,IND,,,,,"13,293",0.27%,,,,,,,,,
117,GA,Georgia,S-UNEXPIRED TERM,S0GA00732,,Rod,Mack,"Mack, Rod",,W,,,,,7,0.00%,,,,,,,,,
118,GA,Georgia,S-UNEXPIRED TERM,n/a,,,,,Total Unexpired Term State Votes:,,,,,,"4,914,368",,"4,484,954",,,,,,,,
119,,,,n/a,,,,,,,,,,,,,,,,,,,,,
120,ID,Idaho,S,S8ID00092,(I),Jim ,Risch,"Risch, Jim ",,R,"199,314",100.00%,,,"538,446",62.62%,,,,,W,W,,,
121,ID,Idaho,S,n/a,,,,,Party Votes:,R,"199,314",,,,,,,,,,,,,,
122,ID,Idaho,S,S0ID00180,,Paulette,Jordan,"Jordan, Paulette",,D,"72,778",85.70%,,,"285,864",33.25%,,,,,W,,,,
123,ID,Idaho,S,S0ID00164,,Jim,Vandermaas,"Vandermaas, Jim",,D,"12,145",14.30%,,,,,,,,,,,,,
124,ID,Idaho,S,n/a,,,,,Party Votes:,D,"84,923",,,,,,,,,,,,,,
125,ID,Idaho,S,S0ID00172,,Natalie M. ,Fleming,"Fleming, Natalie M. ",,IND,,,,,"25,329",2.95%,,,,,,,,,
126,ID,Idaho,S,S6ID00104,,Ray J. ,Writz,"Writz, Ray J. ",,CON,Unopposed,,,,"10,188",1.18%,,,,,W,,,,
127,ID,Idaho,S,n/a,,,,,Total State Votes:,,"284,237",,,,"859,827",,,,,,,,,,
128,,,,n/a,,,,,,,,,,,,,,,,,,,,,
129,IL,Illinois,S,S6IL00151,(I),Richard J. ,Durbin,"Durbin, Richard J. ",,D,"1,446,118",100.00%,,,"3,278,930",54.93%,,,,,W,W,,,
130,IL,Illinois,S,n/a,,,,,Party Votes:,D,"1,446,118",,,,,,,,,,,,,,
131,IL,Illinois,S,S0IL00543 ,,"Mark C., Jr.",Curran,"Curran, Mark C., Jr.",,R,"205,747",41.55%,,,"2,319,870",38.87%,,,,,W,,,,
132,IL,Illinois,S,S0IL00501,,Peggy,Hubbard,"Hubbard, Peggy",,R,"113,189",22.86%,,,,,,,,,,,,,
133,IL,Illinois,S,S6IL00185 ,,Robert,Marshall,"Marshall, Robert",,R,"75,561",15.26%,,,,,,,,,,,,,
134,IL,Illinois,S,S0IL00527,,Tom,Tarter,"Tarter, Tom",,R,"73,009",14.74%,,,,,,,,,,,,,
135,IL,Illinois,S,S0IL00550,,Casey,Chlebek,"Chlebek, Casey",,R,"27,655",5.58%,,,,,,,,,,,,,
136,IL,Illinois,S,n/a,,Richard,Mayers,"Mayers, Richard",,W(R),7,0.00%,,,,,,,,,,,,,
137,IL,Illinois,S,n/a,,,,,Party Votes:,R,"495,168",,,,,,,,,,,,,,
138,IL,Illinois,S,S0IL00568,,Willie L.,Wilson,"Wilson, Willie L.",,WWP,,,,,"237,699",3.98%,,,,,,,,,
139,IL,Illinois,S,S0IL00618,,Danny,Malouf,"Malouf, Danny",,LIB,,,,,"75,673",1.27%,,,,,,,,,
140,IL,Illinois,S,S0IL00634,,David F.,Black,"Black, David F.",,GRE,,,,,"56,711",0.95%,,,,,,,,,
141,IL,Illinois,S,n/a,,Kevin,Keely,"Keely, Kevin",,W,,,,,10,0.00%,,,,,,,,,
142,IL,Illinois,S,S0IL00477,,Lowell Martin,Seida,"Seida, Lowell Martin",,W,,,,,6,0.00%,,,,,,,,,
143,IL,Illinois,S,n/a,,Albert A.,Schaal,"Schaal, Albert A.",,W,,,,,2,0.00%,,,,,,,,,
144,IL,Illinois,S,n/a,,,,,Total State Votes:,,"1,941,286",,,,"5,968,901",,,,,,,,,,
145,,,,n/a,,,,,,,,,,,,,,,,,,,,,
146,IA,Iowa,S,S4IA00129,(I),Joni,Ernst,"Ernst, Joni",,R,"226,589",98.64%,,,"864,997",51.74%,,,,,W,W,,,
147,IA,Iowa,S,n/a,,,Scattered,Scattered,,W(R),"3,132",1.36%,,,,,,,,,,,,,
148,IA,Iowa,S,n/a,,,,,Party Votes:,R,"229,721",,,,,,,,,,,,,,
149,IA,Iowa,,n/a,,,,,,,,,,,,,,,,,,,,,
150,IA,Iowa,S,S0IA00176,,Theresa,Greenfield,"Greenfield, Theresa",,D,"132,001",47.71%,,,"754,859",45.15%,,,,,W,,,,
151,IA,Iowa,S,S0IA00200,,Michael,Franken,"Franken, Michael",,D,"68,851",24.88%,,,,,,,,,,,,,
152,IA,Iowa,S,S0IA00168,,Kimberly,Graham,"Graham, Kimberly",,D,"41,554",15.02%,,,,,,,,,,,,,
153,IA,Iowa,S,S0IA00150,,Eddie J.,Mauro,"Mauro, Eddie J.",,D,"30,400",10.99%,,,,,,,,,,,,,
154,IA,Iowa,S,S0IA00192,,Cal,Woods,"Woods, Cal",,D,"3,372",1.22%,,,,,,,,,,,,,
155,IA,Iowa,S,n/a,,,Scattered,Scattered,,W(D),514,0.19%,,,,,,,,,,,,,
