1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,,,,
1678,MI,Michigan,07,n/a,,,,,District Votes:,,"147,867",,,,"387,267",,,,,,,,,,,,,
1679,MI,Michigan,08,H8MI08102,(I),Elissa,Slotkin,"Slotkin, Elissa",,D,"90,570",100.00%,,,"217,922",50.88%,,,,,W,W,,,,,,
1680,MI,Michigan,08,n/a,,,,,Party Votes:,D,"90,570",,,,,,,,,,,,,,,,,
1681,MI,Michigan,08,H0MI08141,,Paul,Junge,"Junge, Paul",,R,"30,525",35.11%,,,"202,525",47.28%,,,,,W,,,,,,,
1682,MI,Michigan,08,H0MI08133,,Mike,Detmer,"Detmer, Mike",,R,"24,863",28.60%,,,,,,,,,,,,,,,,
1683,MI,Michigan,08,H0MI08158,,Kristina,Lyke,"Lyke, Kristina",,R,"22,093",25.41%,,,,,,,,,,,,,,,,
1684,MI,Michigan,08,H0MI08166,,Alan T.,Hoover,"Hoover, Alan T.",,R,"9,461",10.88%,,,,,,,,,,,,,,,,
1685,MI,Michigan,08,n/a,,,,,Party Votes:,R,"86,942",,,,,,,,,,,,,,,,,
1686,MI,Michigan,08,H0MI08174,,Joe,Hartman,"Hartman, Joe",,LIB,*,,,,"7,897",1.84%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1687,MI,Michigan,08,n/a,,,,,District Votes:,,"177,512",,,,"428,344",,,,,,,,,,,,,
1688,MI,Michigan,09,H8MI09118,(I),Andy,Levin,"Levin, Andy",,D,"103,202",100.00%,,,"230,318",57.71%,,,,,W,W,,,,,,
1689,MI,Michigan,09,n/a,,,,,Party Votes:,D,"103,202",,,,,,,,,,,,,,,,,
1690,MI,Michigan,09,H0MI09180,,Charles J.,Langworthy,"Langworthy, Charles J.",,R,"32,084",57.36%,,,"153,296",38.41%,,,,,W,,,,,,,
1691,MI,Michigan,09,H0MI14230,,Gabi,Grossbard,"Grossbard, Gabi",,R,"23,846",42.63%,,,,,,,,,,,,,,,,
1692,MI,Michigan,09,n/a,,Douglas Allen,Troszak,"Troszak, Douglas Allen",,W(R),1,0.00%,,,,,,,,,,,,,,,,
1693,MI,Michigan,09,n/a,,,,,Party Votes:,R,"55,931",,,,,,,,,,,,,,,,,
1694,MI,Michigan,09,H8MI09142,,Andrea L.,Kirby,"Kirby, Andrea L.",,WC,*,,,,"8,970",2.25%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1695,MI,Michigan,09,H0MI09206,,Mike,Saliba,"Saliba, Mike",,LIB,*,,,,"6,532",1.64%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1696,MI,Michigan,09,n/a,,Douglas Allen,Troszak,"Troszak, Douglas Allen",,W,,,,,1,0.00%,,,,,,,,,,,,
1697,MI,Michigan,09,n/a,,,,,District Votes:,,"159,133",,,,"399,117",,,,,,,,,,,,,
1698,MI,Michigan,10,H0MI10287,,Lisa,McClain,"McClain, Lisa",,R,"50,927",41.67%,,,"271,607",66.28%,,,,,W,W,,,,,,
1699,MI,Michigan,10,H0MI10295,,Shane,Hernandez,"Hernandez, Shane",,R,"44,526",36.44%,,,,,,,,,,,,,,,,
1700,MI,Michigan,10,H0MI10279,,Doug,Slocum,"Slocum, Doug",,R,"26,750",21.89%,,,,,,,,,,,,,,,,
1701,MI,Michigan,10,n/a,,,,,Party Votes:,R,"122,203",,,,,,,,,,,,,,,,,
1702,MI,Michigan,10,H8MI10108,,Kimberly,Bizon,"Bizon, Kimberly",,D,"27,971",53.73%,,,"138,179",33.72%,,,,,W,,,,,,,
1703,MI,Michigan,10,H0MI10238,,Kelly L.,Noland,"Noland, Kelly L.",,D,"24,085",46.27%,,,,,,,,,,,,,,,,
1704,MI,Michigan,10,n/a,,,,,Party Votes:,D,"52,056",,,,,,,,,,,,,,,,,
1705,MI,Michigan,10,n/a,,,,,District Votes:,,"174,259",,,,"409,786",,,,,,,,,,,,,
1706,MI,Michigan,11,H8MI11254,(I),Haley,Stevens,"Stevens, Haley",,D,"105,251",100.00%,,,"226,128",50.20%,,,,,W,W,,,,,,
1707,MI,Michigan,11,n/a,,,,,Party Votes:,D,"105,251",,,,,,,,,,,,,,,,,
1708,MI,Michigan,11,H0MI11129,,Eric S.,Esshaki,"Esshaki, Eric S.",,R,"26,991",31.05%,,,"215,405",47.82%,,,,,W,,,,,,,
1709,MI,Michigan,11,H0MI11145,,Carmelita,Greco,"Greco, Carmelita",,R,"19,869",22.85%,,,,,,,,,,,,,,,,
1710,MI,Michigan,11,H2MI11133,,Kerry,Bentivolio,"Bentivolio, Kerry",,R,"18,794",21.62%,,,,,,,,,,,,,,,,
1711,MI,Michigan,11,H0MI11103,,Frank,Acosta,"Acosta, Frank",,R,"11,030",12.69%,,,,,,,,,,,,,,,,
1712,MI,Michigan,11,H0MI11111,,Whittney,Williams,"Williams, Whittney",,R,"10,251",11.79%,,,,,,,,,,,,,,,,
1713,MI,Michigan,11,n/a,,Eric William,Sandberg,"Sandberg, Eric William",,W(R),5,0.01%,,,,,,,,,,,,,,,,
1714,MI,Michigan,11,n/a,,,,,Party Votes:,R,"86,940",,,,,,,,,,,,,,,,,
1715,MI,Michigan,11,H8MI11387,,Leonard,Schwartz,"Schwartz, Leonard",,LIB,*,,,,"8,936",1.98%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1716,MI,Michigan,11,H0MI11103,,Frank,Acosta,"Acosta, Frank",,W,,,,,4,0.00%,,,,,,,,,,,,
1717,MI,Michigan,11,n/a,,,,,District Votes:,,"192,191",,,,"450,473",,,,,,,,,,,,,
1718,MI,Michigan,12,H4MI12079,(I),Debbie ,Dingell,"Dingell, Debbie ",,D,"103,953",80.93%,,,"254,957",66.43%,,,,,W,W,,,,,,
1719,MI,Michigan,12,H0MI12168,,Solomon,Rajput,"Rajput, Solomon",,D,"24,497",19.07%,,,,,,,,,,,,,,,,
1720,MI,Michigan,12,n/a,,,,,Party Votes:,D,"128,450",,,,,,,,,,,,,,,,,
1721,MI,Michigan,12,H6MI12264,,Jeff,Jones,"Jones, Jeff",,R,"34,718",100.00%,,,"117,719",30.67%,,,,,W,,,,,,,
1722,MI,Michigan,12,n/a,,,,,Party Votes:,R,"34,718",,,,,,,,,,,,,,,,,
1723,MI,Michigan,12,H8MI07039,,Gary,Walkowicz,"Walkowicz, Gary",,WC,*,,,,"11,147",2.90%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1724,MI,Michigan,12,n/a,,,,,District Votes:,,"163,168",,,,"383,823",,,,,,,,,,,,,
1725,MI,Michigan,13,H8MI13250,(I),Rashida,Tlaib,"Tlaib, Rashida",,D,"71,670",66.26%,,,"223,205",78.08%,,,,,W,W,,,,,,
1726,MI,Michigan,13,H8MI13243,,Brenda,Jones,"Jones, Brenda",,D,"36,492",33.74%,,,,,,,,,,,,,,,,
1727,MI,Michigan,13,n/a,,,,,Party Votes:,D,"108,162",,,,,,,,,,,,,,,,,
1728,MI,Michigan,13,H0MI13471,,David,Dudenhoefer,"Dudenhoefer, David",,R,"6,833",47.58%,,,"53,311",18.65%,,,,,W,,,,,,,
1729,MI,Michigan,13,H0MI13497,,Linda,Sawyer,"Sawyer, Linda",,R,"4,955",34.50%,,,,,,,,,,,,,,,,
1730,MI,Michigan,13,H0MI13463,,Al ,Lemmo,"Lemmo, Al ",,R,"2,574",17.92%,,,,,,,,,,,,,,,,
1731,MI,Michigan,13,n/a,,,,,Party Votes:,R,"14,362",,,,,,,,,,,,,,,,,
1732,MI,Michigan,13,H4MI13218,,Sam,Johnson,"Johnson, Sam",,WC,*,,,,"5,284",1.85%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1733,MI,Michigan,13,H8MI13342,,D. Etta,Wilcoxon,"Wilcoxon, D. Etta",,GRE,*,,,,"2,105",0.74%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1734,MI,Michigan,13,H0MI13505,,Articia,Bomer,"Bomer, Articia",,UST,*,,,,"1,974",0.69%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1735,MI,Michigan,13,H0MI13513,,Donald,Eason,"Eason, Donald",,W,,,,,6,0.00%,,,,,,,,,,,,
1736,MI,Michigan,13,n/a,,,,,District Votes:,,"122,524",,,,"285,885",,,,,,,,,,,,,
1737,MI,Michigan,14,H2MI14111,(I),Brenda,Lawrence,"Lawrence, Brenda",,D,"127,006",93.20%,,,"271,370",79.28%,,,,,W,W,,,,,,
1738,MI,Michigan,14,H6MI14195,,Terrance,Morrison,"Morrison, Terrance",,D,"9,264",6.80%,,,,,,,,,,,,,,,,
1739,MI,Michigan,14,n/a,,,,,Party Votes:,D,"136,270",,,,,,,,,,,,,,,,,
1740,MI,Michigan,14,H0MI14255,,Robert Vance,Patrick,"Patrick, Robert Vance",,R,"12,481",65.42%,,,"62,664",18.31%,,,,,W,,,,,,,
1741,MI,Michigan,14,H0MI14248,,"Daryle F., II",Houston,"Houston, Daryle F., II",,R,"6,597",34.58%,,,,,,,,,,,,,,,,
1742,MI,Michigan,14,n/a,,,,,Party Votes:,R,"19,078",,,,,,,,,,,,,,,,,
1743,MI,Michigan,14,H6MI10243,,Lisa Lane,Gioia,"Gioia, Lisa Lane",,LIB,*,,,,"3,737",1.09%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1744,MI,Michigan,14,H8MI14118,,Philip,Kolody,"Kolody, Philip",,WC,*,,,,"2,534",0.74%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1745,MI,Michigan,14,H8MI14084,,Clyde K.,Shabazz,"Shabazz, Clyde K.",,GRE,*,,,,"1,998",0.58%,,,,,*,,"*  The Green Party nominated by convention on June 20, 2020, the Libertarian Party nominated by convention on July 18, 2020, the U.S. Taxpayers Party nominated by convention on July 25, 2020, the Working Class Party nominated by convention on July 26, 2020, and the Natural Law Party nominated by convention on July 30, 2020.  Convention nominees are noted with an asterisk.",,,,,
1746,MI,Michigan,14,n/a,,,,,District Votes:,,"155,348",,,,"342,303",,,,,,,,,,,,,
1747,MI,Michigan,H,n/a,,,,,Total State Votes:,,"2,203,767",,,,"5,423,140",,,,,,,,,,,,,
1748,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,
1749,MN,Minnesota,01,H0MN01045,(I),Jim ,Hagedorn,"Hagedorn, Jim",,R,Unopposed,,,,"179,234",48.59%,,,,,W,W,,,,,,
1750,MN,Minnesota,01,H8MN01279,,Dan ,Feehan,"Feehan, Dan",,DFL,Unopposed,,,,"167,890",45.52%,,,,,W,,,,,,,
1751,MN,Minnesota,01,H0MN01136,,Bill ,Rood,"Rood, Bill",,GLC,Unopposed,,,,"21,448",5.81%,,,,,W,,,,,,,
1752,MN,Minnesota,01,n/a,,,Scattered,Scattered,,W,,,,,284,0.08%,,,,,,,,,,,,
1753,MN,Minnesota,01,n/a,,,,,District Votes:,,,,,,"368,856",,,,,,,,,,,,,
1754,MN,Minnesota,02,H6MN02131,(I),Angie ,Craig,"Craig, Angie",,DFL,Unopposed,,,,"204,534",48.18%,,,,,W,W,,,,,,
1755,MN,Minnesota,02,H0MN02134,,Tyler ,Kistner,"Kistner, Tyler",,R,Unopposed,,,,"194,954",45.92%,,,,,W,,,,,,,
1756,MN,Minnesota,02,H0MN02167,,Adam Charles ,Weeks,"Weeks, Adam Charles",,LMN,Unopposed,,,,"24,751",5.83%,,,,,W,,,,,,,
1757,MN,Minnesota,02,n/a,,,Scattered,Scattered,,W,,,,,273,0.06%,,,,,,,,,,,,
1758,MN,Minnesota,02,n/a,,,,,District Votes:,,,,,,"424,512",,,,,,,,,,,,,
1759,MN,Minnesota,03,H8MN03143,(I),Dean ,Phillips,"Phillips, Dean",,DFL,"73,011",90.75%,,,"246,666",55.61%,,,,,W,W,,,,,,
1760,MN,Minnesota,03,H8MN03168,,Cole,Young,"Young, Cole",,DFL,"7,443",9.25%,,,,,,,,,,,,,,,,
1761,MN,Minnesota,03,n/a,,,,,Party Votes:,DFL,"80,454",,,,,,,,,,,,,,,,,
1762,MN,Minnesota,03,H0MN03124,,Kendall ,Qualls,"Qualls, Kendall",,R,"25,405",75.92%,,,"196,625",44.32%,,,,,W,,,,,,,
1763,MN,Minnesota,03,H0MN03140,,Leslie ,Davis,"Davis, Leslie",,R,"8,060",24.08%,,,,,,,,,,,,,,,,
1764,MN,Minnesota,03,n/a,,,,,Party Votes:,R,"33,465",,,,,,,,,,,,,,,,,
1765,MN,Minnesota,03,n/a,,,Scattered,Scattered,,W,,,,,312,0.07%,,,,,,,,,,,,
1766,MN,Minnesota,03,n/a,,,,,District Votes:,,"113,919",,,,"443,603",,,,,,,,,,,,,
1767,MN,Minnesota,04,H0MN04049,(I),Betty ,McCollum,"McCollum, Betty",,DFL,"80,048",84.03%,,,"245,813",63.17%,,,,,W,W,,,,,,
1768,MN,Minnesota,04,H0MN04205,,Alberder ,Gillespie,"Gillespie, Alberder",,DFL,"6,327",6.64%,,,,,,,,,,,,,,,,
1769,MN,Minnesota,04,H0MN04213,,Tiffini Flynn ,Forslund,"Forslund, Tiffini Flynn",,DFL,"4,312",4.53%,,,,,,,,,,,,,,,,
1770,MN,Minnesota,04,H0MN04171,,David,Sandbeck,"Sandbeck, David",,DFL,"3,425",3.60%,,,,,,,,,,,,,,,,
1771,MN,Minnesota,04,H8MN04109,,Reid,Rossell,"Rossell, Reid",,DFL,"1,154",1.21%,,,,,,,,,,,,,,,,
1772,MN,Minnesota,04,n/a,,,,,Party Votes:,DFL,"95,266",,,,,,,,,,,,,,,,,
1773,MN,Minnesota,04,H6MN04244,,Gene ,Rechtzigel,"Rechtzigel, Gene",,R,"9,182",50.88%,,,"112,730",28.97%,,,,,W,,,,,,,
1774,MN,Minnesota,04,H0MN04197,,Sia ,Lo,"Lo, Sia",,R,"8,866",49.12%,,,,,,,,,,,,,,,,
1775,MN,Minnesota,04,n/a,,,,,Party Votes:,R,"18,048",,,,,,,,,,,,,,,,,
1776,MN,Minnesota,04,H6MN04269 ,,Susan ,Sindt,"Sindt, Susan",,GLC,618,100.00%,,,"29,537",7.59%,,,,,W,,,,,,,
1777,MN,Minnesota,04,n/a,,,,,Party Votes:,GLC,618,,,,,,,,,,,,,,,,,
1778,MN,Minnesota,04,n/a,,,Scattered,Scattered,,W,,,,,"1,034",0.27%,,,,,,,,,,,,
1779,MN,Minnesota,04,n/a,,,,,District Votes:,,"113,932",,,,"389,114",,,,,,,,,,,,,
1780,MN,Minnesota,05,H8MN05239,(I),Ilhan ,Omar,"Omar, Ilhan",,DFL,"103,535",58.18%,,,"255,924",64.27%,,,,,W,W,,,,,,
1781,MN,Minnesota,05,H0MN05210,,Antone ,Melton-Meaux,"Melton-Meaux, Antone",,DFL,"68,524",38.51%,,,,,,,,,,,,,,,,
1782,MN,Minnesota,05,H0MN05228,,John,Mason,"Mason, John",,DFL,"2,721",1.53%,,,,,,,,,,,,,,,,
1783,MN,Minnesota,05,H4MN06046,,Daniel Patrick ,McCarthy,"McCarthy, Daniel Patrick",,DFL,"1,901",1.07%,,,,,,,,,,,,,,,,
1784,MN,Minnesota,05,H0MN05285,,Les,Lester,"Lester, Les",,DFL,"1,267",0.71%,,,,,,,,,,,,,,,,
1785,MN,Minnesota,05,n/a,,,,,Party Votes:,DFL,"177,948",,,,,,,,,,,,,,,,,
1786,MN,Minnesota,05,H0MN05178,,Lacy,Johnson,"Johnson, Lacy",,R,"9,188",76.62%,,,"102,878",25.83%,,,,,W,,,,,,,
1787,MN,Minnesota,05,H0MN05160,,Danielle ,Stella,"Stella, Danielle",,R,"2,236",18.65%,,,,,,,,,,,,,,,,
1788,MN,Minnesota,05,H0MN05251,,Dalia,Al-Aqidi,"Al-Aqidi, Dalia",,R,568,4.74%,,,,,,,,,,,,,,,,
1789,MN,Minnesota,05,n/a,,,,,Party Votes:,R,"11,992",,,,,,,,,,,,,,,,,
1790,MN,Minnesota,05,H0MN05293,,Michael ,Moore,"Moore, Michael",,LMN,940,100.00%,,,"37,979",9.54%,,,,,W,,,,,,,
1791,MN,Minnesota,05,n/a,,,,,Party Votes:,LMN,940,,,,,,,,,,,,,,,,,
1792,MN,Minnesota,05,n/a,,,Scattered,Scattered,,W,,,,,"1,414",0.36%,,,,,,,,,,,,
1793,MN,Minnesota,05,H0MN05269,,Toya,Woodland,"Woodland, Toya",,W,,,,,34,0.01%,,,,,,,,,,,,
1794,MN,Minnesota,05,n/a,,,,,District Votes:,,"190,880",,,,"398,229",,,,,,,,,,,,,
1795,MN,Minnesota,06,H4MN06087,(I),Tom ,Emmer,"Emmer, Tom",,R,"30,654",87.15%,,,"270,901",65.70%,,,,,W,W,,,,,,
1796,MN,Minnesota,06,H6MN06199,,Patrick ,Munro,"Munro, Patrick",,R,"4,518",12.85%,,,,,,,,,,,,,,,,
1797,MN,Minnesota,06,n/a,,,,,Party Votes:,R,"35,172",,,,,,,,,,,,,,,,,
1798,MN,Minnesota,06,H0MN06150,,Tawnja ,Zahradka,"Zahradka, Tawnja",,DFL,"29,445",100.00%,,,"140,853",34.16%,,,,,W,,,,,,,
1799,MN,Minnesota,06,n/a,,,,,Party Votes:,DFL,"29,445",,,,,,,,,,,,,,,,,
1800,MN,Minnesota,06,n/a,,,Scattered,Scattered,,W,,,,,553,0.13%,,,,,,,,,,,,
1801,MN,Minnesota,06,n/a,,,,,District Votes:,,"64,617",,,,"412,307",,,,,,,,,,,,,
1802,MN,Minnesota,07,H0MN07091,,Michelle ,Fischbach,"Fischbach, Michelle",,R,"26,359",58.84%,,,"194,066",53.39%,,,,,W,W,,,,,,
1803,MN,Minnesota,07,H6MN07304,,Dave ,Hughes,"Hughes, Dave",,R,"9,948",22.21%,,,,,,,,,,,,,,,,
1804,MN,Minnesota,07,H0MN07109,,Noel,Collis,"Collis, Noel",,R,"6,747",15.06%,,,,,,,,,,,,,,,,
1805,MN,Minnesota,07,H0MN07133,,William ,Louwagie,"Louwagie, William",,R,989,2.21%,,,,,,,,,,,,,,,,
1806,MN,Minnesota,07,H8MN07102,,Jayesun Israel ,Sherman,"Sherman, Jayesun Israel",,R,757,1.69%,,,,,,,,,,,,,,,,
1807,MN,Minnesota,07,n/a,,,,,Party Votes:,R,"44,800",,,,,,,,,,,,,,,,,
1808,MN,Minnesota,07,H2MN07014,(I),Collin C.,Peterson,"Peterson, Collin C.",,DFL,"26,925",75.60%,,,"144,840",39.85%,,,,,W,,,,,,,
1809,MN,Minnesota,07,H0MN07125,,Alycia R. ,Gruenhagen,"Gruenhagen, Alycia R.",,DFL,"5,956",16.72%,,,,,,,,,,,,,,,,
1810,MN,Minnesota,07,H0MN07075,,Stephen A. ,Emery,"Emery, Stephen A.",,DFL,"2,734",7.68%,,,,,,,,,,,,,,,,
1811,MN,Minnesota,07,n/a,,,,,Party Votes:,DFL,"35,615",,,,,,,,,,,,,,,,,
1812,MN,Minnesota,07,"H0MN07166
",,Slater ,Johnson,"Johnson, Slater",,LMN,592,100.00%,,,"17,710",4.87%,,,,,W,,,,,,,
1813,MN,Minnesota,07,n/a,,,,,Party Votes:,LMN,592,,,,,,,,,,,,,,,,,
1814,MN,Minnesota,07,H0MN07141,,Rae Hart ,Anderson,"Anderson, Rae Hart",,GLC,215,67.40%,,,"6,499",1.79%,,,,,W,,,,,,,
1815,MN,Minnesota,07,"H0MN07158
",,"Kevin ""NeSe"" ",Shores,"Shores, Kevin ""NeSe""",,GLC,104,32.60%,,,,,,,,,,,,,,,,
1816,MN,Minnesota,07,n/a,,,,,Party Votes:,GLC,319,,,,,,,,,,,,,,,,,
1817,MN,Minnesota,07,n/a,,,Scattered,Scattered,,W,,,,,362,0.10%,,,,,,,,,,,,
1818,MN,Minnesota,07,n/a,,,,,District Votes:,,"81,326",,,,"363,477",,,,,,,,,,,,,
1819,MN,Minnesota,08,H8MN08043,(I),Pete ,Stauber,"Stauber, Pete",,R,"39,060",93.75%,,,"223,432",56.75%,,,,,W,W,,,,,,
1820,MN,Minnesota,08,H2MN08061 ,,Harry Robb ,Welty,"Welty, Harry Robb",,R,"2,606",6.25%,,,,,,,,,,,,,,,,
1821,MN,Minnesota,08,n/a,,,,,Party Votes:,R,"41,666",,,,,,,,,,,,,,,,,
1822,MN,Minnesota,08,H0MN08156,,Quinn ,Nystrom,"Nystrom, Quinn",,DFL,"46,050",100.00%,,,"147,853",37.55%,,,,,W,,,,,,,
1823,MN,Minnesota,08,n/a,,,,,Party Votes:,DFL,"46,050",,,,,,,,,,,,,,,,,
1824,MN,Minnesota,08,H0MN08180,,Judith ,Schwartzbacker,"Schwartzbacker, Judith",,GLC,540,100.00%,,,"22,190",5.64%,,,,,W,,,,,,,
1825,MN,Minnesota,08,n/a,,,,,Party Votes:,GLC,540,,,,,,,,,,,,,,,,,
1826,MN,Minnesota,08,n/a,,,Scattered,Scattered,,W,,,,,236,0.06%,,,,,,,,,,,,
1827,MN,Minnesota,08,n/a,,,,,District Votes:,,"88,256",,,,"393,711",,,,,,,,,,,,,
1828,MN,Minnesota,,n/a,,,,,Total State Votes:,,"652,930",,,,"3,193,809",,,,,,,,,,,,,
1829,MN,Minnesota,,n/a,,,,,,,,,,,,,,,,,,,,,,,,
1830,MS,Mississippi,01,H6MS01131,(I),Trent,Kelly,"Kelly, Trent",,R,"56,501",100.00%,,,"228,787",68.75%,,,,,W,W,,,,,,
1831,MS,Mississippi,01,n/a,,,,,Party Votes:,R,"56,501",,,,,,,,,,,,,,,,,
1832,MS,Mississippi,01,H0MS01118,,Antonia,Eliason,"Eliason, Antonia",,D,"37,830",100.00%,,,"104,008",31.25%,,,,,W,,,,,,,
1833,MS,Mississippi,01,n/a,,,,,Party Votes:,D,"37,830",,,,,,,,,,,,,,,,,
1834,MS,Mississippi,01,n/a,,,,,District Votes:,,"94,331",,,,"332,795",,,,,,,,,,,,,
1835,MS,Mississippi,02,H4MS02068,(I),Bennie G. ,Thompson,"Thompson, Bennie G. ",,D,"97,921",93.99%,,,"196,224",66.02%,,,,,W,W,,,,,,
1836,MS,Mississippi,02,H0MS02108,,Sonia,Rathburn,"Rathburn, Sonia",,D,"6,256",6.01%,,,,,,,,,,,,,,,,
1837,MS,Mississippi,02,n/a,,,,,Party Votes:,D,"104,177",,,,,,,,,,,,,,,,,
1838,MS,Mississippi,02,H0MS02082,,Brian ,Flowers,"Flowers, Brian ",,R,"9,883",37.79%,"3,822",70.00%,"101,010",33.98%,,,,,W,,,,,,,
1839,MS,Mississippi,02,H0MS02116,,Thomas L. ,Carey,"Carey, Thomas L. ",,R,"9,456",36.16%,"1,638",30.00%,,,,,,,,,,,,,,
1840,MS,Mississippi,02,H0MS02090,,B.C.,Hammond,"Hammond, B.C.",,R,"6,812",26.05%,,,,,,,,,,,,,,,,
1841,MS,Mississippi,02,n/a,,,,,Party Votes:,R,"26,151",,"5,460",,,,,,,,,,,,,,,
1842,MS,Mississippi,02,n/a,,,,,District Votes:,,"130,328",,"5,460",,"297,234",,,,,,,,,,,,,
1843,MS,Mississippi,03,H8MS03125,(I),Michael,Guest,"Guest, Michael",,R,"67,269",89.83%,,,"221,064",64.67%,,,,,W,W,,,,,,
1844,MS,Mississippi,03,H0MS03072,,James,Tulp,"Tulp, James",,R,"7,618",10.17%,,,,,,,,,,,,,,,,
1845,MS,Mississippi,03,n/a,,,,,Party Votes:,R,"74,887",,,,,,,,,,,,,,,,,
1846,MS,Mississippi,03,H8MS02044,,"Dorothy ""Dot""",Benford,"Benford, Dorothy ""Dot""",,D,"38,967",63.97%,,,"120,782",35.33%,,,,,W,,,,,,,
1847,MS,Mississippi,03,H0MS03114,,Katelyn,Lee,"Lee, Katelyn",,D,"21,951",36.03%,,,,,,,,,,,,,,,,
1848,MS,Mississippi,03,n/a,,,,,Party Votes:,D,"60,918",,,,,,,,,,,,,,,,,
1849,MS,Mississippi,03,n/a,,,,,District Votes:,,"135,805",,,,"341,846",,,,,,,,,,,,,
1850,MS,Mississippi,04,H0MS04120,(I),Steven M.,Palazzo,"Palazzo, Steven M.",,R,"54,318",66.82%,,,"255,971",100.00%,,,,,W,W,,,,,,
1851,MS,Mississippi,04,H0MS04187,,"Robert L., III",Deming,"Deming, Robert L., III",,R,"11,463",14.10%,,,,,,,,,,,,,,,,
1852,MS,Mississippi,04,H0MS04153,,Samuel ,Hickman,"Hickman, Samuel ",,R,"7,981",9.82%,,,,,,,,,,,,,,,,
1853,MS,Mississippi,04,H0MS04161,,Carl,Boyanton,"Boyanton, Carl",,R,"7,533",9.27%,,,,,,,,,,,,,,,,
1854,MS,Mississippi,04,n/a,,,,,Party Votes:,R,"81,295",,,,,,,,,,,,,,,,,
1855,MS,Mississippi,04,n/a,,,,,District Votes:,,"81,295",,,,"255,971",,,,,,,,,,,,,
1856,MS,Mississippi,H,n/a,,,,,Total State Votes:,,"441,759",,"5,460",,"1,227,846",,,,,,,,,,,,,
1857,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,
