1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) Incumbent Indicator,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,"GE RUNOFF ELECTION VOTES (GA, GU, LA)","GE RUNOFF ELECTION % (GA, GU, LA)","COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,,,,,
79,AZ,Arizona,02,H0AZ02182,,Joseph,Morgan,"Morgan, Joseph",,R,"17,802",23.85%,,,,,,,,,,,,,,,,
80,AZ,Arizona,02,H8AZ02250,,Jordan,Flayer,"Flayer, Jordan",,W(R),52,0.07%,,,,,,,,,,,,,,,,
81,AZ,Arizona,02,n/a,,,,,Party Votes:,R,"74,633",,,,,,,,,,,,,,,,,
82,AZ,Arizona,02,H0AZ02216,,Iman,Bah,"Bah, Iman",,W,,,,,99,0.03%,,,,,,,,,,,,
83,AZ,Arizona,02,H0AZ02307,,Brandon,Schlass,"Schlass, Brandon",,W,,,,,35,0.01%,,,,,,,,,,,,
84,AZ,Arizona,02,n/a,,,,,District Votes:,,"176,185",,,,"381,054",,,,,,,,,,,,,
85,AZ,Arizona,03,H2AZ07070,(I),Rául,Grijalva,"Grijalva, Rául",,D,"63,290",100.00%,,,"174,243",64.57%,,,,,W,W,,,,,,
86,AZ,Arizona,03,n/a,,,,,Party Votes:,D,"63,290",,,,,,,,,,,,,,,,,
87,AZ,Arizona,03,H0AZ03461,,Daniel,Wood,"Wood, Daniel",,R,"29,272",99.85%,,,"95,594",35.43%,,,,,W,,,,,,,
88,AZ,Arizona,03,H0AZ03461,,Daniel,Wood,"Wood, Daniel",,R,,,,,,,,,,,,,,,,,,
89,AZ,Arizona,03,H0AZ03479,,Richard,Jolley,"Jolley, Richard",,W(R),44,0.15%,,,,,,,,,,,,,,,,
90,AZ,Arizona,03,n/a,,,,,Party Votes:,R,"29,316",,,,,,,,,,,,,,,,,
91,AZ,Arizona,03,n/a,,,,,District Votes:,,"92,606",,,,"269,837",,,,,,,,,,,,,
92,AZ,Arizona,04,H0AZ01259,(I),Paul,Gosar,"Gosar, Paul",,R,"82,376",63.13%,,,"278,002",69.74%,,,,,W,W,,,,,,
93,AZ,Arizona,04,H0AZ04535,,Anne Marie,Ward,"Ward, Anne Marie",,R,"48,118",36.87%,,,,,,,,,,,,,,,,
94,AZ,Arizona,04,n/a,,,,,Party Votes:,R,"130,494",,,,,,,,,,,,,,,,,
95,AZ,Arizona,04,H8AZ04165,,Delina,DiSanto,"DiSanto, Delina",,D,"34,348",74.35%,,,"120,484",30.23%,,,,,W,,,,,,,
96,AZ,Arizona,04,H0AZ04519,,Stuart,Starky,"Starky, Stuart",,D,"11,852",25.65%,,,,,,,,,,,,,,,,
